phylostratum	species
Arabidopsis	Arabidopsis lyrata
Camelineae	Capsella rubella
Brassicaceae	Brassica rapa
Brassicaceae	Thellungiella halophila
Brassicalesa	Carica papaya
Malvidsa	Citrus clementine
Malvidsa	Citrus sinensis
Malvidsa	Eucalyptus grandis
Malvidsa	Gossypium raimondii
Malvidsa	Theobroma cacao
Rosidsa	Cannabis sativa
Rosidsa	Populus trichocarpa
Rosidsa	Vitis vinifera
Core eudicotyledons	Camptotheca acuminatab
Core eudicotyledons	Echinacea purpureab
Core eudicotyledons	Solanum lycopersicum
Magnoliophyta	Brachypodium distachyon
Magnoliophyta	Dioscorea villosab
Magnoliophyta	Musa acuminate
Magnoliophyta	Oryza sativa
Magnoliophyta	Zea mays
Spermatophyta	Ginkgo bilobab
Tracheophyta	Selaginella moellendorffii
Embryophyta	Physcomitrella patens
Viridiplantae	Chlamydomonas reinhardtii
Viridiplantae	Micromonas pusilla
Viridiplantae	Ostreococcus lucimarinus
Eukaryota	Bigelowiella natans
Eukaryota	Cyanidioschyzon merolae
Eukaryota	Dictyostelium discoideum
Eukaryota	Giardia intestinalis
Eukaryota	Mus musculus
Eukaryota	Phaeodactylum tricornutum
Eukaryota	Plasmodium falciparum
Eukaryota	Saccharomyces cerevisiae
Cellular organisms	Acidilobus saccharovorans
Cellular organisms	Arthrospira platensis
Cellular organisms	Bacillus subtilis
Cellular organisms	Ferroplasma acidarmanus
Cellular organisms	Gloeobacter violaceus
Cellular organisms	Haloquadratum walsbyi
Cellular organisms	Methanopyrus kandleri
Cellular organisms	Nostoc punctiforme
Cellular organisms	Prochlorococcus marinus
Cellular organisms	Pseudomonas aeruginosa
Cellular organisms	Pyrobaculum islandicum
Cellular organisms	Salinispora arenicola
Cellular organisms	Sulfolobus islandicus
