refseq_id	SGD_id	conservation_level
NM_001184629.1	YAL037C-A	1
NM_001184453.1	YAL044W-A	4
NM_001184642.1	YAL063C-A	2
NM_001178206.2	YAL064W	2
NM_001184582.1	YAL067W-A	4
NM_001184583.1	YAR035C-A	1
NM_001178235.1	YAR064W	3
NM_001180045.1	YAR066W	4
NM_001184539.1	YBL008W-A	4
NM_001178284.1	YBL044W	4
NM_001348869.1	YBL048W	4
NM_001346794.1	YBL071C	2
NM_001184584.1	YBL071C-B	3
NM_001178361.1	YBR013C	4
NM_001346795.1	YBR027C	4
NM_001346796.1	YBR032W	3
NM_001178398.1	YBR050C	4
NM_001270739.1	YBR056W-A	4
NM_001178411.1	YBR063C	4
NM_001184540.1	YBR072C-A	1
NM_001178438.4	YBR090C	4
NM_001178455.3	YBR107C	4
NM_001270740.1	YBR126W-A	3
NM_001348890.1	YBR144C	3
NM_001178496.3	YBR148W	4
NM_001184586.1	YBR182C-A	1
NM_001178532.3	YBR184W	4
NM_001178536.3	YBR188C	4
NM_001184541.3	YBR196C-A	3
NM_001184643.3	YBR196C-B	1
NM_001184542.1	YBR200W-A	1
NM_001184676.3	YBR201C-A	4
NM_001348891.1	YBR209W	4
NM_001184644.1	YBR221W-A	4
NM_001178626.1	YBR278W	4
NM_001178633.4	YBR285W	4
NM_001348892.1	YBR292C	2
NM_001184587.3	YBR296C-A	1
NM_001184588.1	YBR298C-A	2
NM_001184450.1	YCL021W-A	4
NM_001178687.1	YCL042W	3
NM_001178700.1	YCL056C	4
NM_001178702.1	YCL058C	2
NM_001348893.1	YCR001W	2
NM_001348894.1	YCR006C	4
NM_001348895.1	YCR022C	4
NM_001184645.1	YCR024C-B	4
NM_001348896.1	YCR025C	4
NM_001310667.1	YCR041W	4
NM_001348897.1	YCR085W	3
NM_001184674.1	YCR095W-A	1
NM_001184543.1	YCR108C	1
NM_001184682.1	YDL007C-A	4
NM_001270742.1	YDL009C	1
NM_001270741.1	YDL022C-A	2
NM_001180098.1	YDL039C	4
NM_001180128.1	YDL069C	4
NM_001180246.1	YDL186W	4
NM_001180301.1	YDL241W	4
NM_001348898.1	YDL242W	4
NM_001184646.3	YDR003W-A	2
NM_001348808.1	YDR010C	1
NM_001184688.1	YDR014W-A	4
NM_001348809.1	YDR029W	4
NM_001184327.3	YDR034W-B	4
NM_001180350.3	YDR042C	4
NM_001348810.1	YDR102C	2
NM_001180422.3	YDR114C	2
NM_001348811.1	YDR157W	4
NM_001184544.3	YDR169C-A	2
NM_001184546.1	YDR194W-A	2
NM_001348813.1	YDR209C	3
NM_001348814.1	YDR215C	3
NM_001184547.3	YDR246W-A	3
NM_001348815.1	YDR274C	3
NM_001180583.1	YDR275W	4
NM_001180589.1	YDR281C	4
NM_001348817.1	YDR344C	3
